# records failing a gate bin/corpus_monitor.py ALREADY defines
# G2b : integral outside [0.6, 1.5]        (corpus_monitor.py:60 INT_LO/INT_HI)
# G3b : peak/Kljun-peak outside [0.4, 2.5] (the project's own peak test)
#
# NEITHER IS AN EXCLUSION RULE. Both are per-case pipeline sanity checks
# calibrated on a handful of validation cases; an LES peak far from Kljun's may
# be the signal. Use these to ablate, not to filter by default.
#
# tag	split	flags	integral	peak_over_kljun	h_m
case_2021010317	train	G3b	0.848	2.89	802
case_2021010418	train	G2b,G3b	1.638	3.08	802
case_2021011109	train	G3b	1.113	2.81	681
case_2021012918	train	G2b	0.566	1.57	760
case_2021020518	train	G3b	0.939	2.61	292
case_2021020822	train	G3b	1.246	2.70	392
case_2021021120	train	G2b	2.016	1.12	760
case_2021021721	train	G2b	1.813	1.10	739
case_2021022020	train	G3b	0.859	3.11	781
case_2021022216	train	G2b,G3b	1.513	2.81	681
case_2021030414	train	G2b	1.637	1.10	719
case_2021032518	train	G2b	1.795	1.10	868
case_2021032715	train	G2b	0.351	1.32	643
case_2021033020	train	G2b,G3b	1.523	3.10	1172
case_2021050320	train	G3b	1.382	2.93	1089
case_2021052217	train	G3b	0.970	3.17	1116
case_2021070418	train	G3b	1.287	3.25	1089
case_2021070721	train	G3b	1.028	2.98	1063
case_2021072109	train	G3b	1.255	6.65	802
case_2021072220	train	G3b	1.322	3.22	1089
case_2021072416	train	G3b	0.996	3.12	1037
case_2021072714	train	G3b	1.085	3.20	662
case_2021080614	train	G3b	1.405	3.16	643
case_2021081221	train	G3b	1.014	2.82	1037
case_2021082322	train	G2b,G3b	1.678	3.21	1063
case_2021082515	train	G3b	1.379	3.11	625
case_2021090715	train	G2b,G3b	1.607	2.94	662
case_2021091120	train	G3b	1.080	3.27	1037
case_2021092620	train	G3b	0.888	3.08	1089
case_2021100220	train	G3b	1.238	3.12	1063
case_2021100819	train	G3b	1.023	2.81	937
case_2021102112	train	G3b	1.441	3.09	802
case_2021103020	train	G2b	1.521	1.26	962
case_2021110417	train	G3b	0.937	3.22	760
case_2021111116	train	G3b	1.082	2.73	781
case_2021111218	train	G3b	0.996	3.06	1259
case_2021111404	train	G3b	0.764	2.79	781
case_2021111618	train	G2b	1.583	1.37	845
case_2021111721	train	G3b	1.030	2.62	802
case_2021112015	train	G3b	0.952	2.63	739
case_2021112621	train	G2b,G3b	1.535	2.91	760
case_2022010320	train	G2b	1.685	1.26	739
case_2022010721	train	G3b	0.956	3.08	760
case_2022011621	train	G3b	1.269	2.80	760
case_2022020121	train	G2b	2.003	1.26	681
case_2022020316	train	G2b	1.610	1.01	802
case_2022020422	train	G3b	1.307	2.89	662
case_2022021021	train	G3b	1.219	3.14	739
case_2022021419	train	G2b	1.553	1.49	1200
case_2022022022	train	G3b	1.163	2.91	823
case_2022022820	train	G3b	0.956	2.88	868
case_2022030320	train	G2b	1.588	1.16	986
case_2022030610	train	G3b	1.203	2.60	477
case_2022031522	train	G3b	1.406	2.90	823
case_2022042516	train	G3b	1.360	2.89	1320
case_2022051916	train	G3b	1.215	3.21	719
case_2022052117	train	G3b	1.429	3.00	1089
case_2022060416	train	G3b	1.236	3.12	823
case_2022061017	train	G3b	1.173	3.02	1259
case_2022061923	train	G3b	0.694	2.90	823
case_2022062018	train	G3b	1.099	3.30	1116
case_2022062522	train	G3b	1.310	3.03	739
case_2022070518	train	G3b	0.972	3.07	823
case_2022071019	train	G3b	1.360	3.20	845
case_2022071522	train	G3b	1.236	3.14	823
case_2022072714	train	G2b,G3b	1.696	3.13	643
case_2022081321	train	G3b	1.366	2.88	891
case_2022090122	train	G3b	0.834	2.82	1037
case_2022092411	train	G3b	1.098	2.90	914
case_2022100420	train	G3b	1.260	3.20	868
case_2022102516	train	G2b	1.692	1.32	662
case_2022102821	train	G3b	1.013	2.65	760
case_2022110618	train	G3b	1.481	2.98	823
case_2022111717	train	G3b	1.263	2.79	247
case_2022112319	train	G3b	0.756	3.05	781
case_2022121921	train	G3b	0.872	3.04	760
case_2022123020	train	G3b	1.085	2.96	760
case_2023010221	train	G2b	0.546	2.07	823
case_2023010418	train	G3b	0.861	2.75	781
case_2023010817	train	G3b	1.078	2.98	781
case_2023011021	train	G3b	1.291	3.05	760
case_2023012316	train	G3b	1.010	2.93	781
case_2023012419	train	G3b	1.363	3.02	739
case_2023020216	train	G3b	0.939	4.66	700
case_2023020319	train	G2b	1.871	1.11	781
case_2023021220	train	G2b,G3b	1.737	2.88	781
case_2023021516	train	G3b	1.259	3.08	781
case_2023022321	train	G3b	1.463	2.80	462
case_2023022422	train	G3b	1.161	2.80	590
case_2023022519	train	G3b	1.414	3.08	739
case_2023030117	train	G3b	0.786	3.09	760
case_2023030420	train	G3b	1.225	2.94	845
case_2023030521	train	G2b	0.589	2.06	1259
case_2023031220	train	G3b	1.110	2.64	1172
case_2023031421	train	G3b	1.074	2.80	353
case_2023032015	train	G2b	1.802	1.27	643
case_2023032114	train	G3b	0.965	3.08	739
case_2023032219	train	G3b	0.816	2.93	760
case_2023040522	train	G2b,G3b	1.664	2.76	492
case_2023041219	train	G3b	1.118	3.29	1144
case_2023041523	train	G2b	0.596	1.49	1037
