date	hour	zi_m	dzidt_m_per_h	dzidt_rel_per_h	shtfl_wm2	wdir_deg	wspd_ms
2023-01-01	00	139.7	+33.4	+23.9	-7.0	123.7	3.42
2023-01-01	01	173.1	+20.8	+12.0	-10.0	115.3	3.38
2023-01-01	02	181.4	-4.6	-2.5	-9.0	138.3	3.82
2023-01-01	03	163.9	+81.9	+50.0	-15.0	132.7	4.01
2023-01-01	04	345.2	+110.4	+32.0	-22.0	149.6	4.06
2023-01-01	05	384.7	+3.2	+0.8	-13.0	137.6	4.23
2023-01-01	06	351.7	-19.1	-5.4	-22.0	150.6	3.83
2023-01-01	07	346.5	-31.1	-9.0	-6.0	159.6	2.03
2023-01-01	08	289.4	-114.7	-39.6	-19.0	169.0	4.16
2023-01-01	09	117.2	-101.7	-86.8	-4.0	155.3	2.01
2023-01-01	10	86.0	-25.8	-30.1	0.0	207.1	0.84
2023-01-01	11	65.5	+15.9	+24.3	-2.0	201.8	1.30
2023-01-01	12	117.8	+41.3	+35.0	-2.0	189.7	1.29
2023-01-01	13	148.0	-19.1	-12.9	-5.0	245.0	1.71
2023-01-01	14	79.7	+1.8	+2.3	1.0	226.5	1.77
2023-01-01	15	151.7	+93.0	+61.3	16.0	248.2	2.13
2023-01-01	16	265.7	+96.0	+36.1	20.0	265.7	2.07
2023-01-01	17	343.7	+61.6	+17.9	44.0	225.7	1.56
2023-01-01	18	388.9	+7.0	+1.8	26.0	214.1	2.10
2023-01-01	19	357.7	-9.7	-2.7	24.0	224.1	2.66
2023-01-01	20	369.6	+22.9	+6.2	28.0	208.5	2.95
2023-01-01	21	403.4	-147.7	-36.6	5.0	222.3	1.76
2023-01-01	22	74.2	-159.3	-214.6	-7.0	207.0	1.98
2023-01-01	23	84.9	+10.6	+12.5	-6.0	191.4	1.87
2023-01-05	00	523.0	-41.4	-7.9	-3.0	207.6	3.50
2023-01-05	01	481.6	-0.6	-0.1	-3.0	205.7	3.63
2023-01-05	02	521.8	+40.8	+7.8	-2.0	198.1	3.17
2023-01-05	03	563.2	+40.2	+7.1	-4.0	201.6	3.12
2023-01-05	04	602.1	-61.5	-10.2	-2.0	205.2	3.23
2023-01-05	05	440.2	-118.0	-26.8	-2.0	199.4	2.40
2023-01-05	06	366.0	+9.1	+2.5	-2.0	205.5	3.07
2023-01-05	07	458.4	+40.4	+8.8	-1.0	214.2	3.13
2023-01-05	08	446.7	+18.7	+4.2	-1.0	211.9	2.56
2023-01-05	09	495.8	+29.4	+5.9	2.0	197.3	2.28
2023-01-05	10	505.6	+43.3	+8.6	2.0	208.5	2.29
