date	hour	zi_m	dzidt_m_per_h	dzidt_rel_per_h	shtfl_wm2	wdir_deg	wspd_ms
2023-01-03	00	167.8	+13.4	+8.0	-8.0	24.5	3.59
2023-01-03	01	181.2	+42.2	+23.3	-6.0	35.1	3.08
2023-01-03	02	252.1	+2.9	+1.1	3.0	47.2	3.14
2023-01-03	03	186.9	-28.3	-15.1	-2.0	47.1	3.61
2023-01-03	04	195.6	+2.2	+1.1	-2.0	42.3	3.89
2023-01-03	05	191.4	+13.5	+7.1	-1.0	39.9	2.60
2023-01-03	06	222.6	+25.7	+11.6	-8.0	13.8	5.33
2023-01-03	07	242.9	-3.0	-1.2	-10.0	32.6	3.47
2023-01-03	08	216.6	+11.1	+5.1	-10.0	42.5	5.55
2023-01-03	09	265.1	+14.9	+5.6	-9.0	47.0	3.96
2023-01-03	10	246.4	+37.3	+15.1	-12.0	47.8	5.51
2023-01-03	11	339.7	+71.6	+21.1	-10.0	32.1	5.05
2023-01-03	12	389.6	-0.2	-0.0	-17.0	42.3	6.32
2023-01-03	13	339.4	-20.1	-5.9	-16.0	52.0	5.88
2023-01-03	14	349.4	+36.5	+10.4	-12.0	47.0	4.03
2023-01-03	15	412.4	+23.4	+5.7	-11.0	52.9	3.85
2023-01-03	16	396.3	+9.1	+2.3	5.0	44.4	5.15
2023-01-03	17	430.7	+15.5	+3.6	2.0	47.4	4.87
2023-01-03	18	427.2	-9.3	-2.2	-8.0	45.9	3.74
2023-01-03	19	412.0	-6.6	-1.6	-15.0	52.8	4.46
2023-01-03	20	414.0	-11.5	-2.8	-11.0	66.6	3.07
2023-01-03	21	389.1	-10.6	-2.7	-12.0	46.1	3.92
2023-01-03	22	392.8	-101.8	-25.9	-6.0	60.0	2.18
2023-01-03	23	185.6	-207.3	-111.7	-8.0	35.0	2.27
2023-01-07	00	411.9	-108.3	-26.3	33.0	322.5	2.58
2023-01-07	01	303.6	-69.7	-23.0	30.0	340.7	2.75
2023-01-07	02	272.4	-79.5	-29.2	41.0	345.1	2.69
2023-01-07	03	144.6	-46.8	-32.3	10.0	319.1	2.07
2023-01-07	04	178.9	+12.4	+6.9	-1.0	338.8	3.22
2023-01-07	05	169.4	+40.7	+24.0	15.0	25.8	0.97
2023-01-07	06	260.3	+75.7	+29.1	11.0	28.2	2.41
2023-01-07	07	320.7	+41.3	+12.9	22.0	55.8	3.10
2023-01-07	08	342.8	+17.6	+5.1	10.0	25.6	1.16
2023-01-07	09	355.8	+20.0	+5.6	4.0	11.7	1.81
2023-01-07	10	382.9	-37.3	-9.7	-8.0	354.9	2.59
2023-01-07	11	281.3	-69.8	-24.8	0.0	329.0	2.02
2023-01-07	12	243.3	-12.7	-5.2	10.0	351.7	2.97
2023-01-07	13	255.8	-11.8	-4.6	9.0	352.2	2.80
2023-01-07	14	219.7	-13.9	-6.3	9.0	303.2	0.76
2023-01-07	15	228.0	+42.0	+18.4	17.0	347.2	1.76
2023-01-07	16	303.7	+58.9	+19.4	28.0	21.1	1.09
2023-01-07	17	345.9	+14.5	+4.2	43.0	23.4	1.69
2023-01-07	18	332.7	+9.1	+2.7	58.0	16.7	2.10
2023-01-07	19	364.1	+21.5	+5.9	66.0	6.7	1.72
2023-01-07	20	375.8	+13.6	+3.6	34.0	2.3	1.89
2023-01-07	21	391.3	+19.3	+4.9	35.0	21.8	2.63
2023-01-07	22	414.4	+60.7	+14.7	10.0	4.5	1.79
2023-01-07	23	512.8	+98.4	+19.2	1.0	9.7	1.53
2023-01-11	00	256.8	-171.6	-66.8	3.0	241.4	1.19
2023-01-11	01	85.2	-68.3	-80.1	7.0	207.4	2.10
2023-01-11	02	120.3	+8.9	+7.4	6.0	212.6	1.42
2023-01-11	03	102.9	-11.6	-11.3	4.0	251.3	0.71
2023-01-11	04	97.1	+8.1	+8.3	4.0	208.8	1.63
2023-01-11	05	119.1	+76.5	+64.3	1.0	189.8	1.65
2023-01-11	06	250.2	+91.7	+36.7	1.0	257.1	1.89
2023-01-11	07	302.5	-60.3	-19.9	4.0	192.9	1.76
2023-01-11	08	129.6	-80.0	-61.7	0.0	344.3	0.61
2023-01-11	09	142.6	+1.3	+0.9	2.0	193.0	0.38
2023-01-11	10	132.2	-30.1	-22.7	0.0	18.8	0.42
2023-01-11	11	82.5	-19.4	-23.5	-1.0	53.4	2.47
2023-01-11	12	93.3	-9.7	-10.4	0.0	246.3	0.82
2023-01-11	13	63.0	-20.4	-32.4	-3.0	32.4	2.36
2023-01-11	14	52.6	+12.1	+23.0	-3.0	104.0	1.88
2023-01-11	15	87.2	+114.9	+131.8	21.0	29.9	1.27
2023-01-11	16	282.4	+113.5	+40.2	38.0	69.1	1.49
2023-01-11	17	314.3	+58.5	+18.6	46.0	86.1	1.94
2023-01-11	18	399.3	+56.2	+14.1	69.0	98.7	2.97
2023-01-11	19	426.7	+19.0	+4.5	38.0	117.9	3.00
2023-01-11	20	437.4	+7.5	+1.7	8.0	102.2	2.25
2023-01-11	21	441.7	-12.4	-2.8	0.0	161.5	0.87
2023-01-11	22	412.7	-89.6	-21.7	-5.0	341.1	1.80
2023-01-11	23	262.4	-150.2	-57.2	0.0	356.8	1.29
2023-01-15	00	284.5	+4.4	+1.6	-10.0	158.6	4.14
2023-01-15	01	288.9	-4.8	-1.6	-3.0	155.4	5.27
2023-01-15	02	274.9	-9.4	-3.4	-16.0	153.1	5.28
2023-01-15	03	270.1	+12.4	+4.6	-3.0	149.5	5.75
2023-01-15	04	299.8	-3.8	-1.3	-28.0	154.5	5.67
2023-01-15	05	262.5	-20.2	-7.7	-26.0	154.4	5.76
2023-01-15	06	259.5	+14.4	+5.6	-17.0	164.4	5.94
2023-01-15	07	291.3	+16.5	+5.7	-24.0	172.0	5.61
2023-01-15	08	292.5	+17.8	+6.1	-14.0	166.3	5.49
2023-01-15	09	326.9	+23.1	+7.1	-6.0	160.5	5.34
2023-01-15	10	338.6	-12.6	-3.7	-2.0	162.8	4.65
2023-01-15	11	301.7	-34.4	-11.4	-21.0	157.8	5.29
2023-01-15	12	269.8	-19.2	-7.1	-30.0	155.9	4.91
2023-01-15	13	263.2	+2.3	+0.9	-31.0	154.2	5.19
2023-01-15	14	274.4	+35.4	+12.9	-29.0	154.9	5.13
2023-01-15	15	334.0	+36.3	+10.9	3.0	149.9	5.56
2023-01-15	16	346.9	+9.7	+2.8	74.0	151.1	7.07
2023-01-15	17	353.5	+47.8	+13.5	79.0	153.3	7.05
2023-01-15	18	442.5	+58.3	+13.2	68.0	156.8	6.78
