# per-record wind-aligned cone mask, bin/mask_cone.py, k=8 y_min=90 m
# asym = 1 - z_m/z_i with z_m = 30.0 m; removed_* are fractions of sum|f| over the raw raster
run_id	split	wdir_deg	zi_m	sigma_v	asym	integral_raw	integral_cone	err_raw	err_cone	removed_abs	removed_upwind	removed_near	negfrac_raw	negfrac_cone	kljun_removed	array_share
case_2021010121	train	7.1	662	0.5275	0.9547	1.0242	0.9727	+0.0696	+0.0180	0.17617	0.00125	0.00422	0.08189	0.01801	0.0000000	0.30764
case_2021010317	train	240.8	802	0.6319	0.9626	0.8483	0.7832	-0.1143	-0.1794	0.11572	0.02030	0.00000	0.02964	0.00892	0.0000000	0.00201
case_2021010418	train	227.1	802	0.6156	0.9626	1.6379	1.5980	+0.6753	+0.6354	0.07009	0.01738	0.00000	0.03415	0.01125	0.0000000	0.00780
case_2021010620	train	180.8	700	0.4964	0.9571	1.1718	1.1470	+0.2147	+0.1899	0.13140	0.00002	0.00104	0.07769	0.02410	0.0000000	0.00335
case_2021010721	train	6.8	781	0.5109	0.9616	0.9521	0.8597	-0.0095	-0.1018	0.17312	0.00020	0.00173	0.05673	0.01592	0.0000000	0.23055
case_2021010819	train	353.8	1037	0.7911	0.9711	1.0466	0.9859	+0.0755	+0.0148	0.11399	0.00092	0.00013	0.04366	0.01482	0.0000000	0.36404
case_2021010915	train	36.5	739	0.5137	0.9594	0.6997	0.7204	-0.2597	-0.2390	0.05910	0.00653	0.00000	0.17518	0.14457	0.0000000	0.00299
case_2021011021	train	263.2	719	0.5722	0.9583	0.8397	0.7811	-0.1186	-0.1772	0.14538	0.00074	0.00362	0.04775	0.00774	0.0000000	-0.00175
case_2021011109	train	233.9	681	0.5001	0.9559	1.1131	1.0472	+0.1572	+0.0913	0.10669	0.01132	0.00000	0.03308	0.00827	0.0000000	0.00062
case_2021011519	train	81.1	891	0.6068	0.9663	1.0290	0.9843	+0.0627	+0.0180	0.13175	0.00332	0.00051	0.08113	0.03853	0.0000000	-0.00036
case_2021011617	train	325.4	405	0.7096	0.9260	0.9790	0.9130	+0.0530	-0.0130	0.12325	0.01411	0.00000	0.04165	0.01248	0.0000000	0.05477
case_2021011716	train	343.1	405	0.5819	0.9260	1.0792	1.0032	+0.1532	+0.0772	0.10908	0.00687	0.00000	0.02365	0.00298	0.0000000	0.24622
case_2021011820	train	265.2	739	0.7538	0.9594	1.0886	0.9882	+0.1292	+0.0288	0.15486	0.00072	0.00429	0.03720	0.00292	0.0000000	-0.00010
