  Ensemble convergence, RANDOMISED held-out reference (bin/make_figures.py, 400 draws)
  Both sides independent at every n: shuffle 18, reference = a random 9, sample = n of
  the remaining 9. Supersedes the FIXED-reference table in fv_ensemble.txt at n = 3 and
  n = 9, where that method had only one available subset and its 'p90' was one draw.

   n  sampling   |d peak| med   p90   |d centroid| med      p90
   1    2.5 min           60   120              276     5378
   2    5.0 min           60   120              220      962
   3    7.5 min           60   120              175      615
   4   10.0 min           60   120              173      607
   5   12.5 min           60    60              153      446
   6   15.0 min           60    60              136      365
   7   17.5 min           60    60              129      362
   8   20.0 min           60    60              133      358
   9   22.5 min            0    60              120      336

