  --- TKE stationarity ---
      step   t(min)    TKE_col       u*
         0     0.00    0.00000   0.0000
     26460    27.56    0.01135   0.3768
     52920    55.12    0.03058   0.3340
     79380    82.69    0.06696   0.3345
    105840   110.25    0.10579   0.3784
    132300   137.81    0.10935   0.3905
    158760   165.38    0.10246   0.3680
    158760   165.38    0.10246   0.3680
    185220   192.94    0.09940   0.3647
    211680   220.50    0.10017   0.3635
    238140   248.06    0.08702   0.3527
    264600   275.62    0.08131   0.3421
    291060   303.19    0.08024   0.3403
    317520   330.75    0.07832   0.3333
    343980   358.31    0.07597   0.3336
    370440   385.88    0.07861   0.3284
    370440   385.88    0.07861   0.3284

  --- stationarity over the last 6 dumps (t = 276-386 min) ---
  domain TKE  mean   0.07884  scatter   2.3%   trend   -2.10 +/-  1.13 %/h   (-1.85 sigma)
  u*          mean   0.33434  scatter   1.7%   trend   -2.25 +/-  0.27 %/h   (-8.40 sigma)
  STATIONARY: NO  (both trends within 2 sigma of zero)

  --- vs NBL validation (t=6-7 h reference) ---
  quantity                                   ours      NBL ref
  sigma_w^2 peak / u*^2                     0.844        0.730
  height of sigma_w^2 peak (m)                174          130
  u* (m/s)                                  0.328        0.410
  wind speed, first level (m/s)              4.07         4.30
  wind veering, sfc->free (deg)             -13.4        -25.0
  sigma_w^2 -> 0 by (m)                       668          650

  --- sigma_w^2 / u*^2 profile ---
   z=    4.3 m    0.002 |
   z=   21.4 m    0.053 |#
   z=   38.6 m    0.161 |#####
   z=   55.9 m    0.310 |###########
   z=   73.3 m    0.465 |#################
   z=   91.0 m    0.600 |######################
   z=  108.8 m    0.701 |#########################
   z=  126.9 m    0.772 |############################
   z=  145.4 m    0.821 |##############################
   z=  164.2 m    0.843 |##############################
   z=  183.5 m    0.841 |##############################
   z=  203.1 m    0.823 |##############################
   z=  223.3 m    0.793 |#############################
   z=  244.1 m    0.770 |############################
   z=  265.4 m    0.752 |###########################
   z=  287.3 m    0.719 |##########################
   z=  310.0 m    0.672 |########################
   z=  333.3 m    0.621 |######################
   z=  357.4 m    0.554 |####################
   z=  382.4 m    0.467 |#################
   z=  462.5 m    0.114 |####
   z=  551.5 m    0.063 |##
   z=  650.6 m    0.076 |##
   z=  761.0 m    0.009 |
