name	val_loss	val_mse_ref	composite	composite_north	gap_ratio	best_epoch	epochs	wall	params	r_peak_x	r_centroid	r_overlap80	r_array_share	r_integral	rn_peak_x	rn_centroid	rn_overlap80	rn_array_share	rn_integral
h_base_s0	0.0001175	0.0001175	0.525685	0.600841	1.05476	85	111	665.6	28390321	0	0.546595	0.996755	0.177373	0.790241	0	0.519096	0.983578	0.36844	0.692812
h_base_s1	0.00011772	0.00011772	0.581867	0.652911	1.08904	107	133	783.3	28390321	0	0.663509	1.0537	0.189839	0.863663	0	0.725659	1.07455	0.314527	0.740964
h_base_s2	0.000117012	0.000117012	0.537341	0.616747	1.07903	118	144	838.2	28390321	0	0.575367	1.10617	0.147294	0.889294	0	0.629261	1.11206	0.275159	0.751428
h_gate_knee_s0	0.000718173	0.00011906	0.55132	0.609781	1.05964	47	73	444.3	28390321	0	0.575934	1.08449	0.165655	0.892922	0	0.590738	1.07556	0.289949	0.750488
h_gate_knee_s1	0.000721619	0.000121416	0.520662	0.591736	1.09609	62	88	528.3	28390321	0	0.556438	0.952059	0.184911	0.750201	0	0.597353	0.941727	0.287937	0.756934
h_gate_l1a_s0	0.000117451	0.000117451	0.540566	0.599011	1.07613	115	141	826	28390321	0	0.669517	0.886009	0.188004	0.765647	0	0.765504	0.881031	0.286398	0.666546
h_gate_l1a_s1	0.000117325	0.000117325	0.550976	0.603028	1.07315	110	136	801.1	28390321	0	0.668423	0.886671	0.206129	0.754358	0	0.750618	0.87226	0.307491	0.656831
h_gate_l1b_s0	0.000117931	0.000117931	0.514327	0.593569	1.05354	112	138	814.9	28390321	0	0.657061	0.878226	0.174899	0.693359	0	0.737369	0.880868	0.296354	0.644877
h_gate_l1b_s1	0.000117859	0.000117859	0.529644	0.626313	1.05103	103	129	686.1	28390321	0	0.6939	0.887308	0.185537	0.688868	0	0.748128	0.906466	0.348492	0.651098
h_gate_s0	0.000117736	0.000117736	0.515927	0.615864	1.07745	93	119	706.7	28390321	0	0.550144	0.944813	0.168585	0.808562	0	0.662763	0.928025	0.325743	0.718035
h_gate_s1	0.000118354	0.000118354	0.606583	0.693916	1.09282	107	133	783.4	28390321	0	0.636898	1.16749	0.181363	1.0039	0	0.711528	1.21178	0.35111	0.765891
h_gate_s2	0.00011698	0.00011698	0.546883	0.586684	1.06249	84	110	661.8	28390321	0	0.592681	1.0302	0.16363	0.895312	0	0.570209	1.07195	0.273761	0.708004
h_l1a_s0	0.000119731	0.000119731	0.491635	0.62365	1.00886	136	150	373	28390321	0	0.657612	0.889327	0.144773	0.690006	0	0.738361	0.892305	0.316278	0.725957
