utc,util_pct,mem_used_mib,n_procs
2026-09-01T23:37:43Z,15,390,0
2026-09-01T23:37:48Z,99,2073,1
2026-09-01T23:37:53Z,99,3357,1
2026-09-01T23:37:58Z,100,3357,1
2026-09-01T23:38:03Z,99,3352,1
2026-09-01T23:38:08Z,100,3352,1
2026-09-01T23:38:13Z,100,3352,1
2026-09-01T23:38:18Z,100,3352,1
2026-09-01T23:38:23Z,100,3352,1
2026-09-01T23:38:28Z,100,3352,1
2026-09-01T23:38:33Z,100,3352,1
2026-09-01T23:38:38Z,99,3352,1
2026-09-01T23:38:43Z,100,3352,1
2026-09-01T23:38:48Z,100,3352,1
2026-09-01T23:38:54Z,100,3352,1
2026-09-01T23:38:59Z,100,3352,1
2026-09-01T23:39:04Z,100,3352,1
2026-09-01T23:39:15Z,22,385,0
2026-09-01T23:39:20Z,100,6572,4
2026-09-01T23:39:25Z,100,7088,4
2026-09-01T23:39:30Z,100,12224,4
2026-09-01T23:39:35Z,100,12224,4
2026-09-01T23:39:40Z,100,12224,4
2026-09-01T23:39:45Z,100,12224,4
2026-09-01T23:39:50Z,100,12224,4
2026-09-01T23:39:55Z,100,12224,4
2026-09-01T23:40:00Z,100,12224,4
2026-09-01T23:40:05Z,100,12224,4
2026-09-01T23:40:10Z,100,12224,4
2026-09-01T23:40:15Z,100,12224,4
2026-09-01T23:40:20Z,100,12224,4
2026-09-01T23:40:25Z,100,12224,4
2026-09-01T23:40:30Z,100,12224,4
2026-09-01T23:40:35Z,100,12224,4
2026-09-01T23:40:41Z,100,12224,4
2026-09-01T23:40:46Z,100,12224,4
2026-09-01T23:40:51Z,100,12224,4
2026-09-01T23:40:56Z,100,12224,4
2026-09-01T23:41:01Z,100,12224,4
2026-09-01T23:41:06Z,100,12224,4
2026-09-01T23:41:11Z,100,12224,4
2026-09-01T23:41:16Z,100,12224,4
2026-09-01T23:41:21Z,100,12224,4
2026-09-01T23:41:26Z,100,12224,4
2026-09-01T23:41:31Z,100,12224,4
2026-09-01T23:41:36Z,100,12224,4
2026-09-01T23:41:41Z,100,12224,4
2026-09-01T23:41:46Z,100,12224,4
2026-09-01T23:41:51Z,100,12224,4
2026-09-01T23:41:56Z,100,12224,4
2026-09-01T23:42:01Z,100,12224,4
2026-09-01T23:42:06Z,100,12224,4
2026-09-01T23:42:11Z,100,12224,4
2026-09-01T23:42:16Z,100,12224,4
2026-09-01T23:42:21Z,100,12224,4
2026-09-01T23:42:26Z,100,12224,4
2026-09-01T23:42:31Z,100,12226,4
2026-09-01T23:42:37Z,100,12226,4
2026-09-01T23:42:42Z,100,12226,4
2026-09-01T23:42:47Z,100,12226,4
2026-09-01T23:42:52Z,100,12226,4
2026-09-01T23:42:57Z,100,12226,4
2026-09-01T23:43:02Z,100,12226,4
