name	val_loss	val_mse_ref	composite	composite_north	gap_ratio	best_epoch	epochs	wall	params	r_peak_x	r_centroid	r_overlap80	r_array_share	r_integral	rn_peak_x	rn_centroid	rn_overlap80	rn_array_share	rn_integral
b0_s0	0.000121246	0.000121246	0.645232	0.890936	1.14294	47	68	81.3	4220225	0	0.902361	0.919472	0.219083	0.953532	0	1.10436	0.9426	0.564028	1.07312
b0_s1	0.000121328	0.000121328	0.7085	0.730347	1.11018	39	60	275.1	4220225	0	0.778775	1.38227	0.194533	1.20326	0	0.795094	1.29566	0.298067	0.926598
b0_s2	0.000122175	0.000122175	0.823017	0.874822	1.09933	35	56	261.5	4220225	0	1.04974	1.4606	0.263488	1.13569	0	1.32124	1.72199	0.291059	0.884478
b0_s3	0.000120778	0.000120778	0.538302	0.591054	1.12007	41	62	279.5	4220225	0	0.670873	1.02651	0.164902	0.739397	0	0.675889	1.06424	0.226265	0.74985
b1_s0	0.000120027	0.000120027	0.66385	0.715295	1.07449	35	56	392.9	14241537	0	0.761163	1.35524	0.180313	1.04414	0	0.727861	1.40088	0.286719	0.895434
b1_s1	0.000122562	0.000122562	0.690092	0.774774	1.21987	45	66	455.3	14241537	0	0.932071	1.0374	0.238019	0.985413	0	1.03286	1.07272	0.407189	0.798681
b1_s2	0.000121119	0.000121119	0.713155	0.723222	1.1091	35	56	393.3	14241537	0	0.866459	1.29624	0.221016	1.04203	0	0.873103	1.3399	0.30911	0.756551
b1x_s0	0.000121833	0.000121833	0.604609	0.676673	1.18626	54	75	441.4	14241217	0	0.607366	1.0986	0.233279	0.858489	0	0.678608	1.11336	0.366265	0.757643
b1x_s1	0.000122098	0.000122098	0.643225	0.748477	1.1116	36	57	317	14241217	0	0.675253	1.2055	0.225048	0.934416	0	0.840741	1.21414	0.324925	0.946238
b1x_s2	0.000120611	0.000120611	0.680697	0.697077	1.08327	34	55	311.8	14241217	0	0.776679	1.30523	0.223695	0.94674	0	0.716634	1.2729	0.429225	0.603041
