number	state	value	best_epoch	composite	composite_north	epochs_run	gap_ratio	n_params	p_batch	p_depth	p_dropout	p_film_hidden	p_local	p_lr	p_modes	p_wd	p_width	peak_vram_gb	r_array_share	r_centroid	r_integral	r_overlap80	r_peak_x	rn_array_share	rn_centroid	rn_integral	rn_overlap80	rn_peak_x	seconds	val_loss	val_mse_ref	wall_s
0	COMPLETE	0.000119914	96	0.574098	0.673892	122	0.97367	2973969	16	5	0.154958	64	conv3x3	0.000294209	24	0.00513135	16	2.01645	0.14724	0.708612	0.888001	1.17246	0	0.343413	0.721934	0.664809	1.25126	0	259.335	0.000119914	0.000119914	257.7
1	COMPLETE	0.000124149	104	0.583563	0.709505	130	1.00568	4033105	16	3	0.284995	128	conv1x1	0.000370102	12	0.00418928	48	2.27787	0.2	0.640463	0.815665	1.10998	0	0.425804	0.703131	0.671837	1.25983	0	553.85	0.000124149	0.000124149	552.3
2	COMPLETE	0.000119528	58	0.526133	0.67415	84	1.09472	9903329	8	6	0.0547015	32	conv3x3	0.00025705	20	0.0130693	32	2.43409	0.139957	0.632297	0.824695	1.04996	0	0.350067	0.694451	0.73054	1.16302	0	377.24	0.000119528	0.000119528	375.5
3	COMPLETE	0.000119977	103	0.634721	0.703514	129	0.986369	3231713	16	4	0.214222	64	conv3x3	0.000438759	28	0.00447325	16	2.01645	0.221582	0.901674	0.801413	1.01366	0	0.372695	0.890621	0.735783	1.00299	0	241.591	0.000119977	0.000119977	241
4	COMPLETE	0.000120691	80	0.623131	0.639203	106	1.05126	1814689	8	3	0.239959	64	conv3x3	0.000612884	12	0.000129561	32	2.43409	0.228052	0.687268	0.90056	1.06818	0	0.360788	0.63965	0.707318	1.0227	0	237.14	0.000120691	0.000120691	236.6
5	COMPLETE	0.000125015	123	0.718729	0.791091	149	0.952081	4005385	16	3	0.223062	32	conv3x3	0.00022331	24	9.68216e-05	24	2.0436	0.185422	0.879707	1.1169	1.46469	0	0.332491	0.904287	0.871064	1.49544	0	315.972	0.000125015	0.000125015	315.4
6	COMPLETE	0.000121176	112	0.614882	0.683304	138	1.02986	2974417	8	5	0.10769	128	conv1x1	0.000240508	24	0.000836846	16	2.27787	0.180761	0.631004	0.966437	1.29676	0	0.380084	0.66955	0.643995	1.33018	0	289.671	0.000121176	0.000121176	289.1
7	COMPLETE	0.000131147	91	1.02406	1.09805	117	1.12939	6696889	8	5	0.0216745	128	conv3x3	0.00195682	24	5.78798e-06	24	2.43409	0.252304	1.37585	1.64396	1.92717	0	0.463425	1.50086	1.07442	1.94534	0	345.981	0.000131147	0.000131147	345.4
8	COMPLETE	0.00012138	52	0.612083	0.626526	78	1.09452	37888993	16	4	0.271259	128	conv3x3	0.00135568	32	6.44741e-05	48	2.81959	0.184388	0.652877	0.947679	1.23031	0	0.396378	0.625237	0.622754	0.998355	0	688.558	0.00012138	0.00012138	688
9	COMPLETE	0.000121831	77	0.639726	0.914777	103	1.02489	1364337	32	4	0.0805714	64	conv3x3	0.000840162	12	0.000740857	24	2.27787	0.221339	0.858247	0.911789	0.966964	0	0.461031	1.36143	1.21247	0.92016	0	376.29	0.000121831	0.000121831	375.8
10	COMPLETE	0.000117594	51	0.614561	0.617383	77	1.05569	37888993	8	4	0.153415	128	conv3x3	0.000847046	32	0.032035	48	2.82103	0.218206	0.609058	0.974481	1.10144	0	0.318608	0.663766	0.719345	0.955011	0	654.398	0.000117594	0.000117594	653.8
11	COMPLETE	0.000119476	47	0.614526	0.680603	73	1.10115	9449617	32	4	0.060382	32	conv1x1	0.00250224	32	0.00579788	24	2.27787	0.161033	0.668969	1.04094	1.27179	0	0.276581	0.708891	0.896639	1.22055	0	288.166	0.000119476	0.000119476	287.7
12	COMPLETE	0.000120114	42	0.592879	0.67762	68	1.13374	7166097	8	3	0.0136344	64	conv3x3	0.000645191	16	1.2323e-06	48	2.81959	0.202146	0.664545	0.833512	1.10347	0	0.358664	0.70279	0.707057	1.18298	0	268.788	0.000120114	0.000120114	268.2
13	COMPLETE	0.000119408	60	0.660231	0.71473	86	0.995578	2388385	16	4	0.226703	128	conv3x3	0.000793545	24	0.000340731	16	2.27787	0.223779	0.694244	0.958476	1.27606	0	0.292278	0.704014	0.842065	1.50607	0	162.229	0.000119408	0.000119408	161.7
14	COMPLETE	0.00011955	42	0.59437	0.702247	68	1.02316	7088137	32	3	0.0536789	32	conv1x1	0.00225754	32	0.00173151	24	2.82103	0.21154	0.71126	0.840564	0.98682	0	0.416191	0.779647	0.75001	0.999314	0	179.557	0.00011955	0.00011955	178.9
15	COMPLETE	0.000118003	77	0.658421	0.794866	103	1.14283	37888993	32	4	0.124954	128	conv3x3	0.000647802	32	0.0236106	48	3.44052	0.26878	0.825981	0.913749	0.926446	0	0.394745	1.06828	1.05931	0.893617	0	834.977	0.000118003	0.000118003	834.5
