date	hour	zi_m	dzidt_rel_per_h	zm_over_L	wdir_deg	wspd_ms	dir_sector	stability	zi_bin
2023-01-01	05	384.7	+0.8	+0.0263	137.6	4.23	SSE	stable	mid
2023-01-05	01	481.6	-0.1	+0.0091	205.7	3.63	SSW	neutral	mid
2023-01-09	01	309.9	+1.7	-0.0423	207.9	1.44	SSW	unstable	mid
2023-01-13	18	851.7	+0.4	-0.0571	358.0	5.56	N	unstable	deep
2023-01-17	04	302.9	-0.4	+0.0385	228.2	5.84	WSW	stable	mid
2023-01-21	00	746.2	+0.1	+0.0292	294.1	3.88	WNW	stable	deep
2023-01-25	17	526.2	-0.7	-0.0370	9.6	3.36	N	unstable	mid
2023-01-29	17	453.5	+0.0	-0.0448	338.3	4.74	NNW	unstable	mid
2023-02-02	13	166.9	+1.6	+0.0431	232.4	6.09	WSW	stable	shallow
2023-02-06	21	326.2	+0.4	-0.0000	137.7	6.44	SSE	neutral	mid
2023-02-10	06	610.4	-2.3	+0.0671	313.9	4.51	WNW	stable	mid
2023-02-14	14	278.2	+1.8	+0.0633	163.7	5.29	SSE	stable	shallow
2023-02-18	07	321.6	-0.3	+0.0269	209.1	6.76	SSW	stable	mid
2023-02-22	18	636.3	+0.1	-0.0048	54.2	8.34	ENE	neutral	mid
2023-02-26	19	252.1	-5.4	-1.1932	112.6	1.10	ESE	v.unstable	shallow
2023-03-02	07	440.5	+0.3	-0.0074	280.3	4.20	W	neutral	mid
2023-03-06	09	426.8	+0.8	+0.0434	91.2	4.48	E	stable	mid
2023-03-10	11	492.7	+0.3	+0.0360	347.4	3.53	N	stable	mid
2023-03-14	20	615.8	-1.9	-1.4165	25.9	0.95	NNE	v.unstable	mid
2023-03-18	00	796.7	+1.8	-0.0238	265.8	8.40	W	unstable	deep
2023-03-22	17	465.3	+0.2	-0.0228	189.8	5.32	S	unstable	mid
2023-03-26	19	392.6	+5.1	-0.1357	57.0	2.12	ENE	unstable	mid
2023-03-30	19	517.4	+0.8	-0.1049	131.4	5.32	ESE	unstable	mid
2023-04-03	03	328.1	-2.7	+0.0774	194.2	6.33	S	stable	mid
2023-04-19	18	386.6	-3.1	-0.0456	78.6	8.33	E	unstable	mid
2023-04-23	06	389.3	+9.8	+0.0712	284.7	4.44	W	stable	mid
2023-04-27	10	148.8	+4.8	+0.0740	170.0	4.52	S	stable	shallow
2023-05-01	05	903.3	-1.4	+0.0149	317.1	7.15	NNW	neutral	deep
2023-05-05	14	427.7	+12.6	-0.1089	160.4	4.64	SSE	unstable	mid
2023-05-09	09	145.4	+0.0	-1.6492	93.6	0.47	E	v.unstable	shallow
2023-05-13	10	248.0	-4.6	+0.0798	47.7	3.52	ENE	stable	shallow
2023-05-17	05	315.2	-0.8	+0.0763	46.9	4.19	ENE	stable	mid
2023-05-25	19	970.1	+2.0	-0.2871	57.8	4.71	ENE	unstable	deep
2023-06-06	17	399.7	+2.1	-0.7480	67.0	2.94	ENE	v.unstable	mid
2023-06-14	02	353.6	-6.5	+0.0817	290.7	4.70	WNW	stable	mid
2023-06-22	04	138.5	+0.4	+0.0659	76.6	2.77	E	stable	shallow
2023-06-26	13	652.6	+0.4	-0.0221	304.1	6.46	WNW	unstable	mid
2023-07-04	06	351.7	-5.3	-0.0422	266.3	4.10	W	unstable	mid
2023-07-08	00	477.7	-6.1	-0.0230	242.2	6.12	WSW	unstable	mid
2023-07-12	22	349.4	+0.1	-0.0607	30.1	6.55	NNE	unstable	mid
2023-07-24	03	749.0	-6.9	-0.0000	206.9	1.65	SSW	neutral	deep
2023-07-28	18	891.6	+9.7	-0.8980	153.1	2.19	SSE	v.unstable	deep
2023-08-13	21	640.6	+2.7	-0.2844	39.9	2.12	NNE	unstable	mid
2023-08-17	11	443.5	-2.0	+0.0056	226.3	4.68	WSW	neutral	mid
2023-08-21	20	837.0	+7.6	-1.0440	52.0	2.19	ENE	v.unstable	deep
2023-08-25	23	967.6	-2.8	-0.5293	234.2	1.61	WSW	v.unstable	deep
2023-08-29	05	148.4	+14.9	+0.0912	193.9	3.15	S	stable	shallow
2023-09-02	20	958.2	+3.1	-0.1140	197.8	5.60	SSW	unstable	deep
2023-09-06	23	943.0	+0.5	+0.0075	293.5	5.77	WNW	neutral	deep
2023-09-22	10	317.4	+3.0	+0.0999	120.9	3.45	ESE	stable	mid
2023-09-26	04	321.6	+3.1	+0.0162	86.1	2.09	E	neutral	mid
2023-09-30	21	900.3	+6.4	-0.0674	155.3	4.25	SSE	unstable	deep
2023-10-04	13	399.8	+8.8	+0.0186	172.0	6.29	S	neutral	mid
2023-10-12	18	585.3	-0.4	+0.0183	62.4	5.72	ENE	neutral	mid
2023-10-16	05	253.3	+5.2	+0.0840	335.6	4.38	NNW	stable	shallow
2023-10-20	06	509.2	-0.2	+0.0061	300.5	4.12	WNW	neutral	mid
2023-10-24	08	254.3	-5.7	+0.0897	201.3	5.81	SSW	stable	shallow
2023-10-28	07	725.0	-1.2	-0.0253	304.8	3.73	WNW	unstable	deep
2023-11-01	22	812.8	-4.3	+0.0317	188.5	4.54	S	stable	deep
2023-11-05	22	602.0	-1.2	+0.0328	184.8	3.96	S	stable	mid
2023-11-09	17	700.0	+13.7	-0.0103	257.9	7.58	W	neutral	deep
2023-11-13	02	314.9	-0.8	+0.0554	208.2	5.92	SSW	stable	mid
2023-11-17	09	515.0	+6.1	-0.0062	327.6	6.59	NNW	neutral	mid
2023-11-21	05	433.1	-1.2	-0.0018	29.2	5.34	NNE	neutral	mid
2023-11-25	21	715.3	-1.0	-0.6191	189.2	1.62	S	v.unstable	deep
2023-11-29	02	212.7	-4.2	+0.0167	192.1	5.62	S	neutral	shallow
