date	hour	zi_m	dzidt_rel_per_h	zm_over_L	wdir_deg	wspd_ms	dir_sector	stability	zi_bin
2023-01-01	18	388.9	+1.8	-0.2601	214.1	2.10	SSW	unstable	mid
2023-01-05	12	659.8	+0.8	-0.0000	206.8	1.15	SSW	neutral	mid
2023-01-09	03	349.8	+2.1	-0.0474	250.7	2.51	WSW	unstable	mid
2023-01-13	18	851.7	+0.4	-0.0571	358.0	5.56	N	unstable	deep
2023-01-17	13	494.7	-3.0	-0.0000	243.0	4.32	WSW	neutral	mid
2023-01-21	05	586.1	-0.9	-0.2081	302.8	1.83	WNW	unstable	mid
2023-01-25	17	526.2	-0.7	-0.0370	9.6	3.36	N	unstable	mid
2023-01-29	17	453.5	+0.0	-0.0448	338.3	4.74	NNW	unstable	mid
2023-02-02	20	868.9	+1.7	-0.0126	305.8	7.54	WNW	neutral	deep
2023-02-06	21	326.2	+0.4	-0.0000	137.7	6.44	SSE	neutral	mid
2023-02-10	19	662.2	+4.5	-0.0666	259.5	4.77	W	unstable	mid
2023-02-14	20	320.9	-3.8	-0.0129	120.6	4.71	ESE	neutral	mid
2023-02-18	20	315.9	-0.9	-0.1080	163.0	4.54	SSE	unstable	mid
2023-02-22	18	636.3	+0.1	-0.0048	54.2	8.34	ENE	neutral	mid
2023-03-02	07	440.5	+0.3	-0.0074	280.3	4.20	W	neutral	mid
2023-03-06	15	304.2	+14.1	-0.0659	61.3	3.80	ENE	unstable	mid
2023-03-10	04	445.2	+0.7	-0.0046	28.1	4.47	NNE	neutral	mid
2023-03-14	20	615.8	-1.9	-1.4165	25.9	0.95	NNE	v.unstable	mid
2023-03-18	00	796.7	+1.8	-0.0238	265.8	8.40	W	unstable	deep
2023-03-22	17	465.3	+0.2	-0.0228	189.8	5.32	S	unstable	mid
2023-03-26	18	386.6	+10.6	-0.0869	24.1	2.45	NNE	unstable	mid
2023-03-30	19	517.4	+0.8	-0.1049	131.4	5.32	ESE	unstable	mid
2023-04-03	18	824.0	+3.9	-0.0474	197.8	4.43	SSW	unstable	deep
2023-04-19	18	386.6	-3.1	-0.0456	78.6	8.33	E	unstable	mid
2023-04-23	13	1186.8	+2.0	-0.0336	296.6	4.10	WNW	unstable	deep
2023-04-27	18	876.7	+13.0	-0.2117	196.1	5.23	SSW	unstable	deep
2023-05-01	19	1213.1	+0.5	-0.0031	309.5	9.92	WNW	neutral	deep
2023-05-05	14	427.7	+12.6	-0.1089	160.4	4.64	SSE	unstable	mid
2023-05-09	22	1067.3	+5.9	-1.2561	23.5	1.06	NNE	v.unstable	deep
2023-05-13	21	829.6	+5.8	-0.0344	76.6	6.71	E	unstable	deep
2023-05-17	21	1204.1	+10.1	-0.4057	65.2	3.58	ENE	unstable	deep
2023-05-25	19	970.1	+2.0	-0.2871	57.8	4.71	ENE	unstable	deep
2023-06-06	17	399.7	+2.1	-0.7480	67.0	2.94	ENE	v.unstable	mid
2023-06-26	21	1238.7	+3.0	-0.0785	316.9	5.80	NNW	unstable	deep
2023-06-30	00	1205.5	+8.1	-0.0548	252.5	1.31	WSW	unstable	deep
2023-07-04	06	351.7	-5.3	-0.0422	266.3	4.10	W	unstable	mid
2023-07-08	16	1166.7	+14.6	-1.5871	318.8	1.63	NNW	v.unstable	deep
2023-07-12	00	1235.2	-11.7	-0.0106	327.8	2.34	NNW	neutral	deep
2023-07-20	00	1142.8	-5.5	-0.0000	202.1	3.36	SSW	neutral	deep
2023-07-24	03	749.0	-6.9	-0.0000	206.9	1.65	SSW	neutral	deep
2023-07-28	18	891.6	+9.7	-0.8980	153.1	2.19	SSE	v.unstable	deep
2023-08-05	18	1157.7	+13.1	-0.2348	63.3	3.95	ENE	unstable	deep
2023-08-13	21	640.6	+2.7	-0.2844	39.9	2.12	NNE	unstable	mid
2023-08-17	10	386.3	-3.9	-0.0041	226.8	5.11	WSW	neutral	mid
2023-08-21	22	1048.7	-2.8	-0.5358	48.9	2.22	ENE	v.unstable	deep
2023-08-25	22	994.8	+0.5	-1.0105	220.5	1.64	SSW	v.unstable	deep
2023-09-02	20	958.2	+3.1	-0.1140	197.8	5.60	SSW	unstable	deep
2023-09-06	18	983.3	+0.5	-0.1575	242.5	3.85	WSW	unstable	deep
2023-09-14	18	1233.6	+6.0	-0.9068	187.7	2.42	S	v.unstable	deep
2023-09-22	16	751.6	+7.6	-0.1196	132.3	4.88	ESE	unstable	deep
2023-09-26	20	957.7	+5.3	-0.0167	101.7	4.00	E	neutral	deep
2023-09-30	21	900.3	+6.4	-0.0674	155.3	4.25	SSE	unstable	deep
2023-10-04	14	522.8	+13.1	-0.0087	194.1	6.79	S	neutral	mid
2023-10-12	21	497.2	+0.8	-0.0165	58.0	6.63	ENE	neutral	mid
2023-10-16	17	646.9	+0.2	-0.1150	335.2	3.38	NNW	unstable	mid
2023-10-20	10	415.6	+13.6	-0.0103	302.8	4.52	WNW	neutral	mid
2023-10-24	16	519.6	+9.5	-0.1079	189.2	3.83	S	unstable	mid
2023-10-28	10	737.6	+0.1	-0.0189	330.0	4.39	NNW	neutral	deep
2023-11-01	19	960.8	+0.1	-0.0816	205.0	5.22	SSW	unstable	deep
2023-11-05	20	547.8	+4.1	-0.0252	196.8	6.59	SSW	unstable	mid
2023-11-09	17	700.0	+13.7	-0.0103	257.9	7.58	W	neutral	deep
2023-11-13	20	1177.4	+3.3	-0.0577	275.9	5.63	W	unstable	deep
2023-11-17	09	515.0	+6.1	-0.0062	327.6	6.59	NNW	neutral	mid
2023-11-21	10	342.8	+8.3	-0.0113	351.5	4.93	N	neutral	mid
2023-11-25	17	552.6	+7.9	-0.5313	178.8	2.21	S	v.unstable	mid
2023-11-29	20	445.0	-2.1	-0.0753	250.3	4.58	WSW	unstable	mid
2023-12-03	22	487.7	-0.7	-0.0080	317.4	3.24	NNW	neutral	mid
2023-12-07	19	388.1	+1.1	-0.1127	157.3	3.49	SSE	unstable	mid
2023-12-11	08	597.9	-5.2	-0.5731	302.0	2.17	WNW	v.unstable	mid
2023-12-15	18	352.1	+1.4	-0.2779	182.5	3.22	S	unstable	mid
2023-12-19	21	447.2	-10.3	-0.0101	182.5	6.66	S	neutral	mid
2023-12-23	19	373.4	+14.8	-0.1186	104.8	1.67	E	unstable	mid
2023-12-27	18	504.0	+3.3	-0.0702	50.7	5.06	ENE	unstable	mid
