# per-record wraparound-mask validation, bin/mask_wrap.py
# integral_* are sum(f)*dx*dy; asym = 1 - z_m/z_i with z_m = 30.0 m
# removed_* are fractions of sum|f| over the UNMASKED raster
run_id	split	wdir_deg	zi_m	asym	integral_raw	integral_masked	err_raw	err_masked	removed_abs	removed_near	removed_far	negfrac_raw	negfrac_masked	array_share
case_2021010121	train	7.1	662	0.9547	1.0242	0.9727	+0.0696	+0.0180	0.17492	0.00411	0.17081	0.08189	0.01876	0.30764
case_2021010317	train	240.8	802	0.9626	0.8483	0.7895	-0.1143	-0.1731	0.09542	0.00000	0.09542	0.02964	0.01608	0.00201
case_2021010418	train	227.1	802	0.9626	1.6379	1.6160	+0.6753	+0.6535	0.05270	0.00000	0.05270	0.03415	0.01479	0.00780
case_2021010620	train	180.8	700	0.9571	1.1718	1.1470	+0.2147	+0.1898	0.13139	0.00103	0.13036	0.07769	0.02412	0.00335
case_2021010721	train	6.8	781	0.9616	0.9521	0.8596	-0.0095	-0.1019	0.17293	0.00170	0.17123	0.05673	0.01609	0.23055
case_2021010819	train	353.8	1037	0.9711	1.0466	0.9863	+0.0755	+0.0152	0.11307	0.00008	0.11300	0.04366	0.01512	0.36404
case_2021010915	train	36.5	739	0.9594	0.6997	0.7175	-0.2597	-0.2419	0.05258	0.00000	0.05258	0.17518	0.14843	0.00299
case_2021011021	train	263.2	719	0.9583	0.8397	0.7813	-0.1186	-0.1770	0.14464	0.00355	0.14109	0.04775	0.00801	-0.00175
case_2021011109	train	233.9	681	0.9559	1.1131	1.0462	+0.1572	+0.0903	0.09537	0.00000	0.09537	0.03308	0.01489	0.00062
case_2021011519	train	81.1	891	0.9663	1.0290	0.9832	+0.0627	+0.0169	0.12844	0.00050	0.12794	0.08113	0.04078	-0.00036
case_2021011617	train	325.4	405	0.9260	0.9790	0.9155	+0.0530	-0.0105	0.10915	0.00000	0.10915	0.04165	0.01885	0.05477
case_2021011716	train	343.1	405	0.9260	1.0792	1.0046	+0.1532	+0.0786	0.10221	0.00000	0.10221	0.02365	0.00611	0.24622
case_2021011820	train	265.2	739	0.9594	1.0886	0.9886	+0.1292	+0.0292	0.15414	0.00404	0.15010	0.03720	0.00314	-0.00010
case_2021011903	train	270.5	719	0.9583	0.7781	0.7689	-0.1802	-0.1894	0.16867	0.00757	0.16110	0.09039	0.01308	-0.00007
case_2021012020	train	167.5	247	0.8786	0.8758	0.8453	-0.0028	-0.0333	0.16940	0.00002	0.16938	0.08919	0.02261	0.00061
case_2021012220	train	288.1	781	0.9616	1.1564	1.0719	+0.1948	+0.1103	0.10024	0.00000	0.10024	0.02405	0.00968	0.01127
case_2021012319	train	197.9	719	0.9583	0.7440	0.7128	-0.2143	-0.2455	0.10692	0.00000	0.10692	0.04602	0.01296	0.01411
case_2021012418	train	281.3	1063	0.9718	0.8589	0.7896	-0.1129	-0.1822	0.14136	0.00000	0.14136	0.03815	0.00548	0.00014
case_2021012517	train	50.9	760	0.9605	1.2479	1.2285	+0.2874	+0.2680	0.03776	0.00000	0.03776	0.05450	0.04419	0.02437
case_2021012620	train	344.9	781	0.9616	1.0176	0.9259	+0.0561	-0.0357	0.14261	0.00003	0.14259	0.04427	0.01639	0.23930
case_2021012720	train	308.9	781	0.9616	1.2308	1.1633	+0.2692	+0.2017	0.08577	0.00000	0.08577	0.03454	0.01878	0.01524
case_2021012820	train	305.4	802	0.9626	1.3907	1.3089	+0.4281	+0.3463	0.09167	0.00000	0.09167	0.03460	0.01779	0.02836
case_2021012918	train	148.0	760	0.9605	0.5661	0.5556	-0.3944	-0.4049	0.15333	0.00000	0.15333	0.12033	0.05990	0.00276
case_2021013016	train	107.4	739	0.9594	0.7916	0.7412	-0.1678	-0.2182	0.12215	0.00000	0.12215	0.05080	0.02087	0.00000
case_2021013116	train	23.5	845	0.9645	0.9563	0.8957	-0.0082	-0.0688	0.10657	0.00000	0.10657	0.04355	0.02147	0.05339
case_2021020119	train	320.5	781	0.9616	1.2046	1.1444	+0.2430	+0.1828	0.07602	0.00000	0.07602	0.05243	0.03983	0.03308
case_2021020219	train	341.9	1037	0.9711	0.9386	0.8409	-0.0325	-0.1302	0.14199	0.00000	0.14199	0.03400	0.01341	0.15361
case_2021020419	train	135.1	739	0.9594	0.8736	0.8139	-0.0859	-0.1455	0.10653	0.00000	0.10653	0.03498	0.01507	0.00000
case_2021020518	train	237.0	292	0.8973	0.9394	0.8928	+0.0422	-0.0044	0.09369	0.00000	0.09369	0.04554	0.02344	0.00128
case_2021020622	train	256.8	868	0.9654	0.9872	0.9404	+0.0218	-0.0250	0.12671	0.00000	0.12671	0.05454	0.01412	0.00046
case_2021020720	train	266.2	719	0.9583	0.9369	0.8973	-0.0214	-0.0610	0.10941	0.00316	0.10626	0.03990	0.00523	0.00138
case_2021020822	train	240.5	392	0.9234	1.2464	1.2023	+0.3229	+0.2789	0.07677	0.00000	0.07677	0.05174	0.03164	0.00133
case_2021020922	train	271.6	448	0.9330	0.9402	0.8483	+0.0072	-0.0847	0.16211	0.00791	0.15420	0.03938	0.00398	0.00309
case_2021021021	train	314.4	739	0.9594	1.2846	1.2617	+0.3251	+0.3022	0.05818	0.00000	0.05818	0.04707	0.02766	0.02356
case_2021021120	train	328.2	760	0.9605	2.0160	1.9758	+1.0555	+1.0152	0.06450	0.00000	0.06450	0.05121	0.02985	0.24044
case_2021021217	train	299.4	719	0.9583	1.0220	0.9996	+0.0637	+0.0413	0.08544	0.00000	0.08544	0.05302	0.02197	0.01352
case_2021021319	train	278.6	739	0.9594	0.8299	0.7787	-0.1295	-0.1808	0.14028	0.00148	0.13880	0.06756	0.02804	0.00480
case_2021021418	train	306.7	802	0.9626	1.1878	1.1361	+0.2252	+0.1736	0.08382	0.00000	0.08382	0.03994	0.01967	0.02975
case_2021021519	train	30.4	781	0.9616	1.1600	1.1499	+0.1985	+0.1883	0.06710	0.00000	0.06710	0.06046	0.03297	0.20457
case_2021021617	train	357.0	760	0.9605	1.0858	1.0172	+0.1253	+0.0567	0.12783	0.00241	0.12542	0.04338	0.00950	0.40278
case_2021021721	train	149.8	739	0.9594	1.8132	1.8337	+0.8538	+0.8743	0.10186	0.00000	0.10186	0.08822	0.03633	0.02292
case_2021021820	train	180.7	590	0.9492	0.7363	0.6624	-0.2128	-0.2867	0.15272	0.00710	0.14562	0.03688	0.00827	0.00169
case_2021021922	train	256.5	962	0.9688	1.0578	0.9646	+0.0890	-0.0042	0.13942	0.00000	0.13942	0.03266	0.00476	0.00098
case_2021022020	train	211.1	781	0.9616	0.8587	0.8087	-0.1028	-0.1529	0.08227	0.00000	0.08227	0.04662	0.03477	0.00987
